invoice_id,invoice_number,sales_order_id,invoice_date,invoice_amount,payment_status,created_date
1,INV000001,1606,2025-05-23 1:57:50,32305.36,Pending,2025-05-23 1:57:50
2,INV000002,839,2025-12-29 8:40:23,87259.28,Paid,2025-12-29 8:40:23
3,INV000003,981,2024-08-12 23:42:30,19597.01,Overdue,2024-08-12 23:42:30
4,INV000004,2180,2026-04-10 13:04:57,135401.27,Overdue,2026-04-10 13:04:57
5,INV000005,1066,2025-06-22 12:11:18,22893.9,Paid,2025-06-22 12:11:18
6,INV000006,3883,2026-02-26 21:02:35,130533.58,Paid,2026-02-26 21:02:35
7,INV000007,4886,2025-10-22 0:23:07,52495.2,Partially Paid,2025-10-22 0:23:07
8,INV000008,387,2025-08-03 0:37:35,89829.4,Paid,2025-08-03 0:37:35
9,INV000009,1925,2025-07-17 4:21:17,115142.69,Partially Paid,2025-07-17 4:21:17
10,INV000010,2399,2024-05-13 12:19:03,91075.23,Paid,2024-05-13 12:19:03
11,INV000011,4015,2026-03-13 7:38:52,279712.09,Partially Paid,2026-03-13 7:38:52
12,INV000012,2597,2026-01-06 10:33:40,0,Pending,2026-01-06 10:33:40
13,INV000013,149,2025-06-14 12:33:39,24275.6,Overdue,2025-06-14 12:33:39
14,INV000014,4702,2025-06-28 9:36:23,143241.28,Overdue,2025-06-28 9:36:23
15,INV000015,4441,2026-02-06 17:45:05,43684.12,Pending,2026-02-06 17:45:05
16,INV000016,3260,2024-08-11 16:09:19,148097.11,Paid,2024-08-11 16:09:19
17,INV000017,4670,2025-12-13 16:30:41,88799.88,Paid,2025-12-13 16:30:41
18,INV000018,611,2025-12-08 7:44:15,89089.84,Partially Paid,2025-12-08 7:44:15
19,INV000019,4259,2025-08-24 5:32:47,106893.71,Paid,2025-08-24 5:32:47
20,INV000020,880,2025-05-17 4:54:10,58765.26,Paid,2025-05-17 4:54:10
21,INV000021,2788,2025-10-11 5:20:35,131841.15,Pending,2025-10-11 5:20:35
22,INV000022,3411,2024-05-29 8:54:42,5671.88,Paid,2024-05-29 8:54:42
23,INV000023,3154,2025-02-05 7:15:30,12018.4,Overdue,2025-02-05 7:15:30
24,INV000024,1723,2025-07-08 17:38:41,82533.72,Overdue,2025-07-08 17:38:41
25,INV000025,2982,2025-09-04 19:11:12,207169.07,Pending,2025-09-04 19:11:12
26,INV000026,2186,2025-06-26 15:03:16,0,Partially Paid,2025-06-26 15:03:16
27,INV000027,1701,2025-01-09 1:46:00,109857.85,Pending,2025-01-09 1:46:00
28,INV000028,482,2025-07-17 6:46:01,46477.56,Paid,2025-07-17 6:46:01
29,INV000029,4780,2025-02-27 2:57:28,33533.65,Partially Paid,2025-02-27 2:57:28
30,INV000030,274,2024-09-05 10:38:44,108679.03,Paid,2024-09-05 10:38:44
31,INV000031,3045,2026-02-14 8:49:09,85356.88,Pending,2026-02-14 8:49:09
32,INV000032,2743,2025-07-13 16:07:18,39453.3,Pending,2025-07-13 16:07:18
33,INV000033,238,2024-05-12 6:46:39,92936.06,Overdue,2024-05-12 6:46:39
34,INV000034,1806,2025-01-29 10:59:28,200315.21,Pending,2025-01-29 10:59:28
35,INV000035,2818,2026-04-06 2:47:09,0,Partially Paid,2026-04-06 2:47:09
36,INV000036,1416,2024-11-23 7:34:31,0,Overdue,2024-11-23 7:34:31
37,INV000037,4593,2024-11-12 1:54:05,0,Paid,2024-11-12 1:54:05
38,INV000038,2462,2024-08-29 20:34:12,18324.19,Partially Paid,2024-08-29 20:34:12
39,INV000039,354,2024-06-20 2:42:51,28254.28,Overdue,2024-06-20 2:42:51
40,INV000040,3374,2025-01-12 3:20:14,4274.22,Overdue,2025-01-12 3:20:14
41,INV000041,4517,2025-08-09 18:49:17,0,Overdue,2025-08-09 18:49:17
42,INV000042,2644,2026-03-13 10:39:50,64306.18,Overdue,2026-03-13 10:39:50
43,INV000043,797,2025-03-06 15:08:45,85915.15,Partially Paid,2025-03-06 15:08:45
44,INV000044,4671,2024-09-10 22:56:23,6611.77,Pending,2024-09-10 22:56:23
45,INV000045,1336,2025-09-15 0:13:50,7670.08,Overdue,2025-09-15 0:13:50
46,INV000046,259,2025-01-09 20:07:38,73272.63,Overdue,2025-01-09 20:07:38
47,INV000047,3691,2026-03-13 6:04:13,42412.17,Overdue,2026-03-13 6:04:13
48,INV000048,818,2025-07-15 15:48:59,89055.68,Paid,2025-07-15 15:48:59
49,INV000049,4635,2024-09-07 22:00:56,47929.34,Pending,2024-09-07 22:00:56
50,INV000050,3028,2026-04-12 9:33:37,63836.88,Pending,2026-04-12 9:33:37
51,INV000051,4644,2026-04-22 13:01:48,9402.33,Paid,2026-04-22 13:01:48
52,INV000052,13,2024-10-18 19:25:55,87791.8,Pending,2024-10-18 19:25:55
53,INV000053,4204,2025-01-09 6:27:26,0,Paid,2025-01-09 6:27:26
54,INV000054,3248,2026-04-29 18:09:05,48463.75,Partially Paid,2026-04-29 18:09:05
55,INV000055,4077,2026-05-09 14:44:50,14035.64,Partially Paid,2026-05-09 14:44:50
56,INV000056,218,2026-01-16 12:57:41,96860.82,Overdue,2026-01-16 12:57:41
57,INV000057,1272,2026-05-10 21:39:00,90148.25,Paid,2026-05-10 21:39:00
58,INV000058,4157,2025-10-31 9:40:22,66592.62,Overdue,2025-10-31 9:40:22
59,INV000059,4132,2024-12-04 19:48:10,2965.29,Partially Paid,2024-12-04 19:48:10
60,INV000060,4348,2025-04-22 13:05:33,77021.29,Paid,2025-04-22 13:05:33
61,INV000061,2140,2025-07-08 16:46:52,109190.61,Pending,2025-07-08 16:46:52
62,INV000062,4966,2025-07-20 12:42:36,29210.58,Overdue,2025-07-20 12:42:36
63,INV000063,1183,2025-05-07 3:31:03,255221.4,Paid,2025-05-07 3:31:03
64,INV000064,268,2024-06-06 4:53:07,13294.8,Pending,2024-06-06 4:53:07
65,INV000065,2676,2025-08-31 18:33:51,60570.47,Overdue,2025-08-31 18:33:51
66,INV000066,3966,2025-09-08 1:03:55,120349.7,Pending,2025-09-08 1:03:55
67,INV000067,4987,2026-02-12 23:52:35,162998.16,Paid,2026-02-12 23:52:35
68,INV000068,1571,2026-02-22 23:57:37,0,Partially Paid,2026-02-22 23:57:37
69,INV000069,195,2025-08-16 3:02:58,68817.5,Pending,2025-08-16 3:02:58
70,INV000070,3705,2026-03-05 1:39:13,25531.15,Partially Paid,2026-03-05 1:39:13
71,INV000071,1689,2025-06-16 18:34:06,139197.78,Paid,2025-06-16 18:34:06
72,INV000072,1257,2026-03-07 13:14:17,9035.84,Paid,2026-03-07 13:14:17
73,INV000073,3017,2025-01-20 10:02:43,75353.92,Partially Paid,2025-01-20 10:02:43
74,INV000074,4644,2024-07-08 23:30:22,9402.33,Overdue,2024-07-08 23:30:22
75,INV000075,4255,2025-07-22 4:30:17,70334.85,Overdue,2025-07-22 4:30:17
