sales_order_item_id,sales_order_id,product_id,quantity,unit_price,line_amount,created_date
1,4407,50,1,4325.9,4325.9,2025-01-29 10:15:40
2,4001,7,12,2659.3,31911.6,2024-06-11 14:35:17
3,1665,73,19,639.97,12159.43,2024-12-19 15:33:18
4,3494,188,15,2304.17,34562.55,2026-04-19 20:20:20
5,4268,33,15,3941.26,59118.9,2024-08-05 18:11:58
6,2417,29,4,791.1,3164.4,2024-12-07 23:36:01
7,3641,111,16,4837.25,77396,2025-06-09 5:28:43
8,2155,23,5,3955.8,19779,2024-12-21 18:05:38
9,2282,188,4,2304.17,9216.68,2025-03-03 8:37:06
10,2898,21,8,4057.6,32460.8,2025-02-08 1:38:20
11,610,84,6,3522.42,21134.52,2025-02-03 20:17:22
12,4154,86,9,3982.76,35844.84,2026-02-04 7:43:38
13,3715,162,17,2059.94,35018.98,2025-03-22 3:55:46
14,607,181,11,1549.01,17039.11,2025-06-23 14:40:07
15,315,111,4,4837.25,19349,2025-08-07 21:35:20
16,4271,82,7,3425.15,23976.05,2025-08-28 16:01:27
17,4573,170,2,1761.61,3523.22,2025-01-22 23:18:41
18,66,63,5,2546.12,12730.6,2025-12-02 6:56:08
19,4804,97,8,542.2,4337.6,2025-09-17 0:14:30
20,1603,68,16,2764.07,44225.12,2025-08-14 3:45:26
21,1241,125,6,686.96,4121.76,2024-12-24 4:24:44
22,4070,73,5,639.97,3199.85,2025-04-13 14:12:21
23,1627,163,3,266.72,800.16,2026-05-05 9:20:14
24,4230,186,7,1158.25,8107.75,2025-06-17 22:29:10
25,27,112,3,4023.12,12069.36,2025-09-19 10:15:36
26,4020,143,20,3711.17,74223.4,2024-06-20 0:15:49
27,1709,182,6,283.36,1700.16,2026-01-26 16:43:11
28,318,108,9,2083.36,18750.24,2025-11-19 8:29:30
29,3116,162,19,2059.94,39138.86,2024-12-30 18:34:36
30,1923,164,12,1764.71,21176.52,2025-03-20 20:00:25
31,3967,136,6,1033.98,6203.88,2024-11-01 5:42:15
32,2459,60,10,1466.39,14663.9,2025-11-02 10:23:17
33,3974,126,13,4747.41,61716.33,2024-09-10 3:47:55
34,4898,92,18,56.89,1024.02,2024-11-04 4:55:03
35,3941,76,4,2055.79,8223.16,2025-05-24 22:51:12
36,1794,29,10,791.1,7911,2024-07-04 12:41:57
37,3438,115,11,1835.22,20187.42,2024-11-12 22:22:41
38,2027,170,14,1761.61,24662.54,2025-11-16 21:28:40
39,949,46,15,1673.21,25098.15,2024-07-14 13:03:59
40,2613,170,4,1761.61,7046.44,2025-12-08 7:50:17
41,2848,179,13,577.95,7513.35,2024-06-28 20:29:26
42,1050,199,16,740.76,11852.16,2024-10-30 23:40:25
43,4008,154,14,3258.07,45612.98,2024-06-17 9:57:28
44,1924,8,10,1660.65,16606.5,2024-12-03 12:29:58
45,2195,130,7,2229.03,15603.21,2025-09-12 14:12:42
46,3351,16,18,3192.97,57473.46,2024-07-30 16:27:44
47,2648,67,11,2238.27,24620.97,2024-07-18 22:08:13
48,3369,101,15,3728.41,55926.15,2025-08-17 16:07:48
49,3484,103,9,958.76,8628.84,2024-05-26 14:23:44
50,448,69,16,4349.31,69588.96,2025-07-09 6:30:03
51,1794,87,2,2159.13,4318.26,2025-08-21 12:10:38
52,2528,115,14,1835.22,25693.08,2025-04-21 5:39:32
53,1813,147,6,4820.49,28922.94,2024-12-01 5:25:52
54,4392,53,4,3802.35,15209.4,2025-12-03 7:22:27
55,2701,34,20,2727.37,54547.4,2024-09-26 4:46:41
56,4422,6,1,1224.09,1224.09,2024-10-23 22:11:57
57,3107,24,11,1908.09,20988.99,2025-05-15 5:30:04
58,2890,197,18,977.58,17596.44,2025-03-25 8:46:57
