sales_order_id,order_number,customer_id,order_date,order_status,total_amount,created_date,modified_date
1,SO000001,488,2026-02-20 7:19:20,Delivered,240167.48,2026-02-20 7:19:20,2026-02-25 7:19:20
2,SO000002,387,2025-04-14 21:30:12,Cancelled,59034.52,2025-04-14 21:30:12,2025-04-28 21:30:12
3,SO000003,297,2024-11-24 7:38:23,Delivered,68758.67,2024-11-24 7:38:23,2024-12-18 7:38:23
4,SO000004,474,2026-03-07 16:39:08,Cancelled,21346.8,2026-03-07 16:39:08,2026-03-28 16:39:08
5,SO000005,326,2024-11-25 21:38:33,Cancelled,98518.56,2024-11-25 21:38:33,2024-12-15 21:38:33
6,SO000006,443,2024-08-29 3:48:05,Shipped,148779.83,2024-08-29 3:48:05,2024-09-08 3:48:05
7,SO000007,226,2024-11-16 13:01:40,Pending,15091.26,2024-11-16 13:01:40,2024-11-20 13:01:40
8,SO000008,227,2024-06-14 12:42:30,Shipped,114776,2024-06-14 12:42:30,2024-06-29 12:42:30
9,SO000009,141,2025-07-20 6:04:37,Cancelled,21321.96,2025-07-20 6:04:37,2025-08-14 6:04:37
10,SO000010,181,2025-07-06 23:51:31,Cancelled,79706.06,2025-07-06 23:51:31,2025-07-07 23:51:31
11,SO000011,159,2026-02-15 13:28:24,Delivered,17538.2,2026-02-15 13:28:24,2026-02-17 13:28:24
12,SO000012,20,2024-09-14 3:45:23,Pending,13493.07,2024-09-14 3:45:23,2024-09-28 3:45:23
13,SO000013,426,2026-05-07 22:35:03,Shipped,87791.8,2026-05-07 22:35:03,2026-05-18 22:35:03
14,SO000014,331,2024-08-18 12:52:30,Pending,17925.86,2024-08-18 12:52:30,2024-08-20 12:52:30
15,SO000015,305,2024-08-13 8:59:23,Cancelled,0,2024-08-13 8:59:23,2024-09-01 8:59:23
16,SO000016,237,2024-06-30 19:03:36,Cancelled,70083.67,2024-06-30 19:03:36,2024-07-12 19:03:36
17,SO000017,489,2025-02-03 21:29:08,Pending,56526.62,2025-02-03 21:29:08,2025-02-20 21:29:08
18,SO000018,466,2025-08-07 20:02:12,Cancelled,3192.97,2025-08-07 20:02:12,2025-08-21 20:02:12
19,SO000019,97,2025-09-22 0:40:14,Shipped,150859.17,2025-09-22 0:40:14,2025-10-12 0:40:14
20,SO000020,244,2024-09-09 21:15:06,Cancelled,29263.95,2024-09-09 21:15:06,2024-09-28 21:15:06
21,SO000021,491,2026-04-19 4:18:34,Pending,97901.37,2026-04-19 4:18:34,2026-04-23 4:18:34
22,SO000022,53,2024-08-06 1:17:26,Shipped,127269.8,2024-08-06 1:17:26,2024-08-20 1:17:26
23,SO000023,44,2025-10-02 12:33:17,Cancelled,34999.89,2025-10-02 12:33:17,2025-10-24 12:33:17
24,SO000024,89,2026-04-25 11:22:36,Pending,41725.32,2026-04-25 11:22:36,2026-05-15 11:22:36
25,SO000025,363,2025-02-14 10:00:51,Delivered,25891.52,2025-02-14 10:00:51,2025-02-21 10:00:51
26,SO000026,269,2025-03-05 9:45:44,Cancelled,161733.94,2025-03-05 9:45:44,2025-03-19 9:45:44
27,SO000027,82,2024-08-01 9:54:10,Shipped,47760.13,2024-08-01 9:54:10,2024-08-20 9:54:10
28,SO000028,470,2025-06-20 11:18:01,Shipped,142682.66,2025-06-20 11:18:01,2025-07-01 11:18:01
29,SO000029,210,2025-03-07 14:30:17,Shipped,34924.83,2025-03-07 14:30:17,2025-03-19 14:30:17
30,SO000030,307,2025-05-30 12:37:11,Pending,61977.94,2025-05-30 12:37:11,2025-06-20 12:37:11
31,SO000031,324,2024-11-04 10:06:00,Shipped,11145.76,2024-11-04 10:06:00,2024-11-29 10:06:00
32,SO000032,169,2026-04-21 0:53:18,Pending,108428.09,2026-04-21 0:53:18,2026-04-23 0:53:18
33,SO000033,348,2026-04-30 19:41:23,Delivered,24266.2,2026-04-30 19:41:23,2026-05-17 19:41:23
